LotFrontage,LotArea,OverallQuality,OverallConditions,YearBuilt,YearRemodel,MasonryVeneerArea,ExteriorQuality,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1Area,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,AboveGroundLivingArea,BasementFullBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Fireplaces,FireplaceQuality,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,PoolArea,PoolQuality,SalePrice,TotalUsedArea,NonbuiltArea,IsDuplex,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,DwellingType,ZoneType,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,Foundation,BasementFinishedType1,BasementFinishedType2,Heating,Electrical,Functional,GarageType,Fence,MiscFeature,SaleType,SaleCondition
26,5858,7,5,1999,1999,0,3,4,3,1,1051,354,1405,4,1,1337,0,1337,1,2,0,2,1,3,5,1,2,1999,3,2,511,3,3,2,203,0,0,,3253,4010,0,11,7.479431563201197E-4,1.0,11,0.004438374871969956,0.02219187435984978,267.4,2,255.5,1533,5620,9359,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential High Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,FR2,Gentle,NAmes,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Poured Contrete,Good Living Quarters,Below Average Living Quarters,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
21,1680,6,5,1971,1971,504,2,3,3,1,156,327,483,2,1,483,504,987,0,1,1,2,1,2,5,0,0,1971,1,1,264,3,3,2,275,0,0,,1734,933,1,39,0.0,1.0,39,0.0125,0.0625,197.4,2,264.0,792,1449,5922,2-STORY PUD - 1946 & NEWER,Residential Medium Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,BrDale,Norm,Norm,Townhouse Inside Unit,2Story,Gable,Two-family Conversion,Hard Board,Hard Board,Brick Face,Cinder Block,Average Rec Room,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,COD,Normal Sale
21,1680,5,5,1971,1971,492,2,3,3,1,300,225,525,2,1,525,567,1092,0,1,1,3,1,2,6,0,0,1997,1,1,320,3,3,2,0,0,0,,1937,835,1,39,0.0,1.5,39,0.0125,0.0625,182.0,2,320.0,960,1575,5460,2-STORY PUD - 1946 & NEWER,Residential Medium Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,BrDale,Norm,Norm,Townhouse Inside Unit,2Story,Gable,Two-family Conversion,Hard Board,Hard Board,Brick Face,Cinder Block,Average Rec Room,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
24,2280,6,6,1975,1975,0,2,3,3,1,514,341,855,2,1,855,601,1456,0,2,1,3,1,3,6,1,3,1975,1,2,440,3,3,2,173,0,0,,2751,985,1,35,6.868131868131869E-4,1.0,35,0.010526315789473684,0.06315789473684211,242.66666666666666,2,220.0,1320,2565,8736,2-STORY PUD - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,NPkVill,Norm,Norm,Townhouse Inside Unit,2Story,Gable,Two-family Conversion,Plywood,Brick Common,NA,Cinder Block,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
24,2280,7,6,1975,1975,0,2,4,3,1,0,836,836,4,1,836,0,836,0,1,0,2,1,2,4,0,0,1975,1,1,308,3,3,2,0,0,0,,1980,1136,0,35,0.0,2.0,35,0.010526315789473684,0.06315789473684211,209.0,1,308.0,924,3344,5852,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,NPkVill,Norm,Norm,Townhouse Inside Unit,1Story,Gable,Two-family Conversion,Plywood,Brick Common,NA,Cinder Block,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
102,12858,9,5,2009,2010,162,4,5,3,1,0,1590,1590,4,1,1627,707,2334,0,2,1,3,1,4,10,1,4,2009,3,3,751,3,3,2,144,0,0,,4675,10480,1,0,4.284490145672665E-4,1.0,1,0.007932804479701353,0.03966402239850676,233.4,6,250.33333333333334,2253,7950,21006,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,New,Partial
94,12883,8,5,2009,2010,256,3,4,3,1,0,1544,1544,4,1,1544,0,1544,0,2,0,3,1,3,7,0,0,2009,2,3,868,3,3,2,0,0,0,,3956,10471,0,0,0.0,1.5,1,0.00729643716525654,0.036482185826282695,220.57142857142858,3,289.3333333333333,2604,6176,12352,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,New,Partial
90,11520,9,5,2005,2005,615,3,5,3,1,110,1588,1698,4,1,1698,0,1698,0,2,0,3,1,4,7,1,4,2005,3,3,730,3,3,2,192,0,0,,4126,9092,0,5,5.889281507656066E-4,1.5,5,0.0078125,0.0390625,242.57142857142858,3,243.33333333333334,2190,8490,15282,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,PosN,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
79,14122,8,5,2005,2006,240,3,5,3,1,28,1794,1822,4,1,1822,0,1822,0,2,0,3,1,4,8,1,4,2005,2,3,678,3,3,2,0,0,0,,4322,11622,0,4,5.488474204171241E-4,1.5,5,0.005594108483217675,0.027970542416088373,227.75,4,226.0,2034,9110,14576,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Cement Board,Cement Board,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
110,14300,9,5,2003,2004,1095,4,5,3,4,1373,1473,2846,4,1,2696,0,2696,1,2,1,3,1,4,10,2,4,2003,3,3,958,3,3,2,220,0,0,,6500,10646,0,6,7.41839762611276E-4,1.0,7,0.007692307692307693,0.038461538461538464,269.6,6,319.3333333333333,2874,14230,24264,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Hillside,All public Utilities,Inside,Moderate,NridgHt,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
105,13650,8,5,2002,2002,232,3,4,3,4,578,1093,1671,4,1,1687,563,2250,1,2,1,3,1,3,7,1,5,2002,3,3,756,3,3,2,238,0,0,,4677,11207,1,8,4.4444444444444447E-4,1.0,8,0.007692307692307693,0.038461538461538464,321.42857142857144,3,252.0,2268,6684,18000,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
41,7132,8,5,2006,2006,178,3,4,3,2,24,1346,1370,4,1,1370,0,1370,0,2,0,2,1,3,6,1,4,2006,2,2,484,3,3,2,120,0,0,,3224,5278,0,4,7.2992700729927E-4,1.0,4,0.005748738081884464,0.02874369040942232,228.33333333333334,3,242.0,1452,5480,10960,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
100,18494,6,5,2005,2005,0,3,4,3,1,0,1324,1324,4,1,1324,0,1324,0,2,0,3,1,3,6,0,0,2005,3,2,430,3,3,2,36,0,0,,3078,16740,0,5,0.0,1.5,5,0.005407159078620093,0.027035795393100463,220.66666666666666,2,215.0,1290,5296,7944,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
43,3203,7,5,2006,2006,14,3,4,3,3,16,1129,1145,4,1,1145,0,1145,0,2,0,2,1,3,6,0,0,2006,3,2,437,3,3,2,100,0,0,,2727,1621,0,4,0.0,1.0,4,0.013424914142990947,0.06712457071495473,190.83333333333334,3,218.5,1311,4580,8015,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Blmngtn,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
67,13300,7,5,2004,2004,0,3,4,3,1,326,58,384,4,1,744,630,1374,1,2,1,3,1,3,7,1,4,2004,3,2,400,3,3,2,100,0,0,,2158,12156,1,6,7.27802037845706E-4,1.0,6,0.005037593984962406,0.02518796992481203,196.28571428571428,3,200.0,1200,1536,9618,SPLIT OR MULTI-LEVEL,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,SLvl,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,BuiltIn,No Fance,None,WD,Normal Sale
63,8577,7,5,2004,2004,0,3,4,3,1,0,847,847,4,1,847,886,1733,0,2,1,3,1,3,7,1,4,2004,3,2,433,3,3,2,144,0,0,,3013,7297,1,6,5.770340450086555E-4,1.0,6,0.007345225603357817,0.03672612801678909,247.57142857142858,3,216.5,1299,3388,12131,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,BuiltIn,No Fance,None,WD,Normal Sale
60,17433,8,5,1998,1998,114,3,5,3,1,0,1629,1629,4,1,1645,830,2475,0,2,1,4,1,3,7,1,3,1998,3,3,962,3,3,2,23,0,0,,5066,14826,1,12,4.0404040404040404E-4,1.3333333333333333,12,0.003441748408191361,0.017208742040956806,353.57142857142856,2,320.6666666666667,2886,8145,19800,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Moderately Irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
73,8987,8,5,2005,2006,226,3,4,3,0,0,1595,1595,4,1,1595,0,1595,0,2,0,2,1,3,6,1,4,2005,2,3,880,3,3,2,144,0,0,,4070,6512,0,4,6.269592476489029E-4,1.0,5,0.008122844108156226,0.04061422054078113,265.8333333333333,3,293.3333333333333,2640,6380,12760,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
92,9215,7,5,2009,2010,0,3,4,3,1,0,1218,1218,4,1,1218,0,1218,0,2,0,2,1,3,4,0,0,2009,2,2,676,3,3,2,0,0,0,,3112,7321,0,0,0.0,1.0,1,0.009983722192078133,0.049918610960390665,304.5,1,338.0,2028,4872,8526,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,New,Partial
84,10440,6,5,2005,2005,0,3,5,3,1,1414,54,1468,4,1,1468,0,1468,1,2,0,2,1,3,6,1,4,2005,3,2,528,3,3,2,0,0,0,,3464,8444,0,5,6.811989100817438E-4,1.0,5,0.008045977011494253,0.040229885057471264,244.66666666666666,3,264.0,1584,7340,8808,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
70,11920,7,5,2004,2004,122,3,4,3,3,0,831,831,4,1,831,828,1659,0,2,1,3,1,3,8,0,0,2004,2,2,484,3,3,2,144,0,0,,2974,10605,1,6,0.0,1.0,6,0.00587248322147651,0.02936241610738255,207.375,4,242.0,1452,3324,11613,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,SawyerW,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
70,9800,5,5,1920,1950,0,2,3,3,1,0,816,816,2,0,1012,0,1012,0,1,0,2,1,2,5,0,0,1920,1,1,429,3,3,2,121,0,0,,2257,8359,0,60,0.0,2.0,90,0.007142857142857143,0.03571428571428571,202.4,2,429.0,1287,2448,5060,1-STORY 1945 & OLDER,Residential High Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,SawyerW,Feedr,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,Brick & Tile,Unfinshed,Unfinshed,GasA,FuseA,Typ,Detchd,No Fance,None,WD,Normal Sale
39,15410,6,6,1974,2002,250,2,3,3,4,126,223,1208,4,1,1494,0,1494,1,2,0,3,1,2,7,2,2,1974,3,2,461,3,3,2,296,0,0,,3163,13455,0,8,0.0013386880856760374,1.5,36,0.0025308241401687218,0.015184944841012332,213.42857142857142,3,230.5,1383,3624,8964,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,Sawyer,RRNe,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Plywood,Plywood,Brick Common,Cinder Block,Below Average Living Quarters,Good Living Quarters,GasA,SBrkr,Typ,Attchd,Good Privacy,None,WD,Abnormal Sale
85,13143,8,5,1993,1993,504,3,4,3,1,250,0,1231,4,1,1251,1098,2349,1,2,1,4,1,3,9,1,3,1993,2,3,762,3,3,2,32,0,0,,4342,11130,1,17,4.257130693912303E-4,1.3333333333333333,17,0.006467321007380355,0.03233660503690178,261.0,4,254.0,2286,4924,18792,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Hard Board,Imitation Stucco,Brick Face,Poured Contrete,Low Quality,Good Living Quarters,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
88,11134,8,5,1992,1993,180,3,4,3,1,1129,261,1390,4,1,1402,823,2225,1,2,1,4,1,3,7,1,3,1992,2,3,713,3,3,2,198,0,0,,4328,9019,1,17,4.4943820224719103E-4,1.3333333333333333,18,0.007903718340219149,0.03951859170109574,317.85714285714283,2,237.66666666666666,2139,5560,17800,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Hard Board,Hard Board,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
25,4835,7,5,2004,2005,0,3,5,3,3,1298,190,1488,4,1,1488,0,1488,1,2,0,2,1,3,6,1,4,2004,3,2,506,3,3,2,168,0,0,,3482,2841,0,5,6.720430107526882E-4,1.0,6,0.005170630816959669,0.025853154084798345,248.0,3,253.0,1518,7440,10416,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Floating Village Residential,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,Somerst,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
39,3515,7,5,2004,2004,0,3,4,3,1,0,840,840,4,1,840,840,1680,0,2,1,2,1,3,3,0,0,2004,2,2,588,3,3,2,0,0,0,,3108,2087,1,6,0.0,0.6666666666666666,6,0.011095305832147937,0.05547652916073968,560.0,0,294.0,1764,3360,11760,2-STORY PUD - 1946 & NEWER,Floating Village Residential,Paved,Paved,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Townhouse End Unit,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
