LotFrontage,LotArea,OverallQuality,OverallConditions,YearBuilt,YearRemodel,MasonryVeneerArea,ExteriorQuality,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1Area,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,AboveGroundLivingArea,BasementFullBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Fireplaces,FireplaceQuality,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,PoolArea,PoolQuality,SalePrice,TotalUsedArea,NonbuiltArea,IsDuplex,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,DwellingType,ZoneType,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,Foundation,BasementFinishedType1,BasementFinishedType2,Heating,Electrical,Functional,GarageType,Fence,MiscFeature,SaleType,SaleCondition
51,6120,7,8,1929,2001,0,2,3,3,1,0,832,832,4,1,854,0,854,0,1,0,2,1,2,5,0,0,1991,1,2,576,3,3,2,48,0,0,132000,2262,4690,0,6,0.0,2.0,78,0.008333333333333333,0.06666666666666667,170.8,2,288.0,1728,2496,5978,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,BrkSide,Norm,Norm,Single-family Detached,1.5Unf,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,Brick & Tile,Unfinshed,Unfinshed,GasA,FuseA,Typ,Detchd,Good Privacy,None,WD,Normal Sale
0,11241,6,7,1970,1970,180,2,3,3,1,578,426,1004,4,1,1004,0,1004,1,1,0,2,1,2,5,1,3,1970,3,2,480,3,3,2,0,0,0,149000,2488,9757,0,40,9.9601593625498E-4,2.0,40,0.0,0.0,200.8,2,240.0,1440,3012,6024,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Wood Siding,Wood Siding,Brick Face,Cinder Block,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,Shed,WD,Normal Sale
72,10791,4,5,1967,1967,0,2,0,0,0,0,0,0,2,1,1296,0,1296,0,2,0,2,2,2,6,0,0,1967,1,2,516,3,3,2,0,0,0,90000,1812,8979,0,39,0.0,1.0,39,0.006672226855713094,0.03336113427856547,216.0,2,258.0,1548,0,5184,DUPLEX - ALL STYLES AND AGES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Duplex,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Slab,No Basement,No Basement,GasA,SBrkr,Typ,CarPort,No Fance,Shed,WD,Normal Sale
66,13695,5,5,2004,2004,0,2,3,3,1,646,468,1114,4,1,1114,0,1114,1,1,1,3,1,3,6,0,0,2004,1,2,576,3,3,2,0,0,0,159000,2804,12005,0,4,0.0,1.5,4,0.004819277108433735,0.024096385542168676,185.66666666666666,2,288.0,1728,3342,5570,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,SawyerW,RRAe,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
70,7560,5,6,1958,1965,0,2,3,3,1,504,525,1029,2,1,1339,0,1339,0,1,0,3,1,2,6,0,0,1958,1,1,294,3,3,2,0,0,0,139000,2662,5927,0,44,0.0,3.0,51,0.009259259259259259,0.05555555555555555,223.16666666666666,2,294.0,882,3087,6695,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Brick Face,Plywood,NA,Cinder Block,Low Quality,Unfinshed,GasA,SBrkr,Min1,Attchd,Minimum Privacy,None,COD,Abnormal Sale
101,14215,8,5,2005,2006,380,3,5,3,3,0,1158,1158,4,1,1158,1218,2376,0,3,1,4,1,3,9,1,4,2005,2,3,853,3,3,2,240,0,0,325300,4387,12204,1,0,4.2087542087542086E-4,1.0,1,0.00710517059444249,0.03552585297221245,264.0,4,284.3333333333333,2559,5790,19008,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,BuiltIn,No Fance,None,New,Partial
57,7449,7,7,1930,1950,0,2,3,3,1,0,637,637,4,1,1108,0,1108,0,1,0,3,1,3,6,1,4,1930,1,1,280,3,3,0,0,0,0,139400,2025,6061,0,57,9.025270758122744E-4,3.0,77,0.0076520338300443014,0.05356423681031011,184.66666666666666,2,280.0,840,1911,7756,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,Paved,Grovel,Regular,Banked,All public Utilities,Inside,Gentle,IDOTRR,Norm,Norm,Single-family Detached,1.5Unf,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,FuseF,Typ,Attchd,Good Privacy,None,WD,Normal Sale
75,9742,8,5,2002,2002,281,3,4,3,1,0,1777,1777,4,1,1795,0,1795,0,2,0,3,1,3,7,1,4,2002,2,2,534,3,3,2,171,0,0,230000,4106,7413,0,6,5.571030640668524E-4,1.5,6,0.0076986245124204475,0.03849312256210224,256.42857142857144,3,267.0,1602,7108,14360,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
44,4224,5,7,1976,1976,0,2,4,3,1,840,200,1040,2,1,1060,0,1060,1,1,0,3,1,2,6,1,3,1976,1,2,572,3,3,2,100,0,0,129900,2672,2592,0,31,9.433962264150943E-4,3.0,31,0.010416666666666666,0.07291666666666666,176.66666666666666,2,286.0,1716,4160,5300,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,MeadowV,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Cement Board,Cement Board,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
0,8246,5,8,1968,2001,0,2,3,3,2,188,204,1060,4,1,1060,0,1060,1,1,0,3,1,3,6,1,3,1968,1,1,270,3,3,2,406,0,0,154000,2390,6916,0,9,9.433962264150943E-4,3.0,42,0.0,0.0,176.66666666666666,2,270.0,810,3180,5300,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Plywood,Plywood,NA,Cinder Block,Average Rec Room,Average Living Quarters,GasA,SBrkr,Typ,Attchd,Minimum Privacy,None,WD,Normal Sale
110,14230,8,5,2007,2007,640,3,4,3,1,0,1566,1566,4,1,1600,0,1600,0,2,0,3,1,3,7,1,4,2007,2,3,890,3,3,2,0,0,0,256300,4056,11740,0,2,6.25E-4,1.5,2,0.007730147575544624,0.03865073787772312,228.57142857142858,3,296.6666666666667,2670,6264,12800,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
60,7200,5,7,1951,2000,0,2,3,3,2,234,180,900,2,1,900,0,900,0,1,0,3,1,3,5,0,0,2005,1,2,576,3,3,2,222,0,0,134800,2376,5724,0,10,0.0,3.0,59,0.008333333333333333,0.058333333333333334,180.0,1,288.0,1728,2700,4500,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,Cinder Block,Below Average Living Quarters,Average Rec Room,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
98,11478,8,5,2007,2008,200,3,5,3,1,1218,486,1704,4,1,1704,0,1704,1,2,0,3,1,3,7,1,4,2008,2,3,772,3,3,2,0,0,0,306000,4180,9002,0,2,5.868544600938967E-4,1.5,3,0.008538072834988674,0.042690364174943374,243.42857142857142,3,257.3333333333333,2316,8520,13632,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
47,16321,5,6,1957,1997,0,2,3,3,4,1277,207,1484,2,1,1600,0,1600,1,1,0,2,1,2,6,2,4,1957,2,1,319,3,3,2,288,0,0,207500,3403,14402,0,9,0.00125,2.0,49,0.0028797255070155017,0.01727835304209301,266.6666666666667,3,319.0,957,4452,8000,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Cinder Block,Below Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
60,6324,4,6,1927,1950,0,2,3,3,1,0,520,520,1,0,520,0,520,0,1,0,1,1,1,4,0,0,1920,1,1,240,2,3,2,49,0,0,68500,1280,5564,0,58,0.0,1.0,81,0.009487666034155597,0.056925996204933584,130.0,2,240.0,480,1560,2080,1-STORY 1945 & OLDER,Residential Medium Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,BrkSide,Feedr,RRNn,Single-family Detached,1Story,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,Brick & Tile,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Detchd,No Fance,None,WD,Normal Sale
50,8500,4,4,1920,1950,0,2,3,3,1,0,649,649,2,0,649,668,1317,0,1,0,3,1,2,6,0,0,1920,1,1,250,3,2,0,0,0,0,40000,2216,7601,1,58,0.0,3.0,88,0.0058823529411764705,0.023529411764705882,219.5,2,250.0,750,1947,5268,2-STORY 1945 & OLDER,Commercial,Paved,Paved,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,IDOTRR,Feedr,Norm,Single-family Detached,2Story,Gambrel,Two-family Conversion,Brick Face,Brick Face,NA,Brick & Tile,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Detchd,Minimum Privacy,None,WD,Normal Sale
0,8544,5,6,1966,2006,0,2,3,3,1,0,1228,1228,3,1,1228,0,1228,0,1,1,3,1,3,6,0,0,1966,1,1,271,3,3,2,0,0,0,149350,2727,7045,0,2,0.0,1.5,42,0.0,0.0,204.66666666666666,2,271.0,813,3684,6140,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Hard Board,Hard Board,NA,Cinder Block,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,Minimum Privacy,None,WD,Normal Sale
85,11049,8,5,2007,2007,0,3,5,3,3,0,1234,1234,4,1,1234,0,1234,0,2,0,3,1,3,7,0,0,2007,2,2,484,3,3,2,0,0,0,179900,2952,9331,0,1,0.0,1.5,1,0.00769300389175491,0.03846501945877455,176.28571428571428,3,242.0,1452,6170,9872,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
70,10552,5,5,1959,1959,0,2,3,3,1,1018,380,1398,3,1,1700,0,1700,0,1,1,4,1,3,6,1,4,1959,2,2,447,3,3,2,0,0,0,165500,3545,8405,0,51,5.88235294117647E-4,2.0,51,0.006633813495072024,0.03316906747536012,283.3333333333333,1,223.5,1341,4194,8500,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Brick Face,Brick Face,NA,Cinder Block,Average Rec Room,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
60,7313,9,5,2005,2005,246,4,5,3,1,1153,408,1561,4,1,1561,0,1561,1,2,0,2,1,4,6,1,4,2005,3,2,556,3,3,2,203,0,0,277500,3678,5196,0,2,6.406149903907751E-4,1.0,2,0.008204567209079722,0.04102283604539861,260.1666666666667,3,278.0,1668,7805,14049,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Townhouse End Unit,1Story,Hip,Two-family Conversion,Metal Siding,Metal Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
108,13418,8,5,2004,2005,132,3,5,3,3,0,1117,1117,4,1,1132,1320,2452,0,3,1,4,1,3,9,1,4,2004,3,3,691,3,3,2,113,0,0,309000,4260,11595,1,1,4.078303425774878E-4,1.0,2,0.008048889551348934,0.04024444775674467,272.44444444444446,4,230.33333333333334,2073,5585,19616,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,BuiltIn,No Fance,None,WD,Normal Sale
112,10859,5,5,1994,1995,0,2,4,3,1,0,1097,1097,4,1,1097,0,1097,0,1,1,3,1,2,6,0,0,1995,1,2,672,3,3,2,392,0,0,145000,2866,9090,0,14,0.0,1.5,15,0.010314025232526015,0.05157012616263008,182.83333333333334,2,336.0,2016,4388,5485,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
