DwellingType,ZoneType,LotFrontage,LotArea,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,MasonryVeneerArea,ExteriorQuality,ExteriorCondition,Foundation,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1,BasementFinishedType1Area,BasementFinishedType2,BasementFinishedType2Area,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualityFinishedArea,AboveGroundLivingArea,BasementFullBathrooms,BasementHalfBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Functional,Fireplaces,FireplaceQuality,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSeasonPorchArea,ScreenPorch,PoolArea,PoolQuality,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalUsedArea,NonbuiltArea,BuiltAreaRatio,PorchArea,IsDuplex,SoldAfterRemodel,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,LivingAreaCondition,BasementAreaCondition,GarageAreaCondition
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential High Density,26,5858,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,FR2,Gentle,NAmes,Norm,Norm,Townhouse End Unit,1Story,7,5,1999,1999,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,3,2,Poured Contrete,4,3,1,Good Living Quarters,1051,Below Average Living Quarters,0,354,1405,GasA,4,1,SBrkr,1337,0,0,1337,1,0,2,0,2,1,3,5,Typ,1,2,Attchd,1999,3,2,511,3,3,2,203,68,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,3253,4010,0.22823489245476272,68,0,0,11,7.479431563201197E-4,1.0,11,0.004438374871969956,0.02219187435984978,267.4,2,255.5,1533,5620,9359,6685,4215,1533
2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1680,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,BrDale,Norm,Norm,Townhouse Inside Unit,2Story,6,5,1971,1971,Gable,Two-family Conversion,Hard Board,Hard Board,Brick Face,504,2,2,Cinder Block,3,3,1,Average Rec Room,156,Unfinshed,0,327,483,GasA,2,1,SBrkr,483,504,0,987,0,0,1,1,2,1,2,5,Typ,0,0,Detchd,1971,1,1,264,3,3,2,275,0,0,0,0,0,0,No Fance,None,0,2,2010,COD,Normal Sale,,1734,933,0.5875,0,1,0,39,0.0,1.0,39,0.0125,0.0625,197.4,2,264.0,792,1449,5922,4935,1449,792
2-STORY PUD - 1946 & NEWER,Residential Medium Density,21,1680,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,BrDale,Norm,Norm,Townhouse Inside Unit,2Story,5,5,1971,1971,Gable,Two-family Conversion,Hard Board,Hard Board,Brick Face,492,2,2,Cinder Block,3,3,1,Average Rec Room,300,Unfinshed,0,225,525,GasA,2,1,SBrkr,525,567,0,1092,0,0,1,1,3,1,2,6,Typ,0,0,Detchd,1997,1,1,320,3,3,2,0,0,0,0,0,0,0,No Fance,None,0,3,2010,WD,Normal Sale,,1937,835,0.65,0,1,0,39,0.0,1.5,39,0.0125,0.0625,182.0,2,320.0,960,1575,5460,5460,1575,960
2-STORY PUD - 1946 & NEWER,Residential Low Density,24,2280,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,NPkVill,Norm,Norm,Townhouse Inside Unit,2Story,6,6,1975,1975,Gable,Two-family Conversion,Plywood,Brick Common,NA,0,2,2,Cinder Block,3,3,1,Average Living Quarters,514,Unfinshed,0,341,855,GasA,2,1,SBrkr,855,601,0,1456,0,0,2,1,3,1,3,6,Typ,1,3,Attchd,1975,1,2,440,3,3,2,173,0,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,2751,985,0.6385964912280702,0,1,0,35,6.868131868131869E-4,1.0,35,0.010526315789473684,0.06315789473684211,242.66666666666666,2,220.0,1320,2565,8736,8736,2565,1320
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,24,2280,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,NPkVill,Norm,Norm,Townhouse Inside Unit,1Story,7,6,1975,1975,Gable,Two-family Conversion,Plywood,Brick Common,NA,0,2,2,Cinder Block,4,3,1,Unfinshed,0,Unfinshed,0,836,836,GasA,4,1,SBrkr,836,0,0,836,0,0,1,0,2,1,2,4,Typ,0,0,Attchd,1975,1,1,308,3,3,2,0,30,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,1980,1136,0.36666666666666664,30,0,0,35,0.0,2.0,35,0.010526315789473684,0.06315789473684211,209.0,1,308.0,924,3344,5852,5016,2508,924
2-STORY 1946 & NEWER,Residential Low Density,102,12858,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,9,5,2009,2010,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,162,4,2,Poured Contrete,5,3,1,Unfinshed,0,Unfinshed,0,1590,1590,GasA,4,1,SBrkr,1627,707,0,2334,0,0,2,1,3,1,4,10,Typ,1,4,Attchd,2009,3,3,751,3,3,2,144,133,0,0,0,0,0,No Fance,None,0,1,2010,New,Partial,,4675,10480,0.18152123191787214,133,1,1,0,4.284490145672665E-4,1.0,1,0.007932804479701353,0.03966402239850676,233.4,6,250.33333333333334,2253,7950,21006,11670,4770,2253
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,94,12883,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,8,5,2009,2010,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,256,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,1544,1544,GasA,4,1,SBrkr,1544,0,0,1544,0,0,2,0,3,1,3,7,Typ,0,0,Attchd,2009,2,3,868,3,3,2,0,35,0,0,0,0,0,No Fance,None,0,6,2010,New,Partial,,3956,10471,0.11984786152293721,35,0,1,0,0.0,1.5,1,0.00729643716525654,0.036482185826282695,220.57142857142858,3,289.3333333333333,2604,6176,12352,7720,4632,2604
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,90,11520,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,PosN,Norm,Single-family Detached,1Story,9,5,2005,2005,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,615,3,2,Poured Contrete,5,3,1,Good Living Quarters,110,Unfinshed,0,1588,1698,GasA,4,1,SBrkr,1698,0,0,1698,0,0,2,0,3,1,4,7,Typ,1,4,Attchd,2005,3,3,730,3,3,2,192,74,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,4126,9092,0.14739583333333334,74,0,0,5,5.889281507656066E-4,1.5,5,0.0078125,0.0390625,242.57142857142858,3,243.33333333333334,2190,8490,15282,8490,5094,2190
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,79,14122,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,8,5,2005,2006,Hip,Two-family Conversion,Cement Board,Cement Board,Brick Face,240,3,2,Poured Contrete,5,3,1,Good Living Quarters,28,Unfinshed,0,1794,1822,GasA,4,1,SBrkr,1822,0,0,1822,0,0,2,0,3,1,4,8,Typ,1,4,Attchd,2005,2,3,678,3,3,2,0,119,0,0,0,0,0,No Fance,None,0,2,2010,WD,Normal Sale,,4322,11622,0.12901855261294434,119,0,1,4,5.488474204171241E-4,1.5,5,0.005594108483217675,0.027970542416088373,227.75,4,226.0,2034,9110,14576,9110,5466,2034
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,110,14300,Paved,Not Alley Access,Regular,Hillside,All public Utilities,Inside,Moderate,NridgHt,Norm,Norm,Single-family Detached,1Story,9,5,2003,2004,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,1095,4,2,Poured Contrete,5,3,4,Good Living Quarters,1373,Unfinshed,0,1473,2846,GasA,4,1,SBrkr,2696,0,0,2696,1,0,2,1,3,1,4,10,Typ,2,4,Attchd,2003,3,3,958,3,3,2,220,150,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,6500,10646,0.18853146853146854,150,0,1,6,7.41839762611276E-4,1.0,7,0.007692307692307693,0.038461538461538464,269.6,6,319.3333333333333,2874,14230,24264,13480,8538,2874
2-STORY 1946 & NEWER,Residential Low Density,105,13650,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,8,5,2002,2002,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,232,3,2,Poured Contrete,4,3,4,Good Living Quarters,578,Unfinshed,0,1093,1671,GasA,4,1,SBrkr,1687,563,0,2250,1,0,2,1,3,1,3,7,Typ,1,5,Attchd,2002,3,3,756,3,3,2,238,130,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,4677,11207,0.16483516483516483,130,1,0,8,4.4444444444444447E-4,1.0,8,0.007692307692307693,0.038461538461538464,321.42857142857144,3,252.0,2268,6684,18000,11250,5013,2268
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,41,7132,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Townhouse End Unit,1Story,8,5,2006,2006,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,178,3,2,Poured Contrete,4,3,2,Good Living Quarters,24,Unfinshed,0,1346,1370,GasA,4,1,SBrkr,1370,0,0,1370,0,0,2,0,2,1,3,6,Typ,1,4,Attchd,2006,2,2,484,3,3,2,120,49,0,0,0,0,0,No Fance,None,0,4,2010,WD,Normal Sale,,3224,5278,0.19209197980931014,49,0,0,4,7.2992700729927E-4,1.0,4,0.005748738081884464,0.02874369040942232,228.33333333333334,3,242.0,1452,5480,10960,6850,4110,1452
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,100,18494,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,6,5,2005,2005,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,1324,1324,GasA,4,1,SBrkr,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,0,0,Attchd,2005,3,2,430,3,3,2,36,23,0,0,0,0,0,No Fance,None,0,1,2010,WD,Normal Sale,,3078,16740,0.07159078620093003,23,0,0,5,0.0,1.5,5,0.005407159078620093,0.027035795393100463,220.66666666666666,2,215.0,1290,5296,7944,6620,3972,1290
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,43,3203,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Blmngtn,Norm,Norm,Townhouse End Unit,1Story,7,5,2006,2006,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,14,3,2,Poured Contrete,4,3,3,Good Living Quarters,16,Unfinshed,0,1129,1145,GasA,4,1,SBrkr,1145,0,0,1145,0,0,2,0,2,1,3,6,Typ,0,0,Attchd,2006,3,2,437,3,3,2,100,116,0,0,0,0,0,No Fance,None,0,1,2010,WD,Normal Sale,,2727,1621,0.35747736497034033,116,0,0,4,0.0,1.0,4,0.013424914142990947,0.06712457071495473,190.83333333333334,3,218.5,1311,4580,8015,5725,3435,1311
SPLIT OR MULTI-LEVEL,Residential Low Density,67,13300,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,SLvl,7,5,2004,2004,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,3,2,Poured Contrete,4,3,1,Good Living Quarters,326,Unfinshed,0,58,384,GasA,4,1,SBrkr,744,630,0,1374,1,0,2,1,3,1,3,7,Typ,1,4,BuiltIn,2004,3,2,400,3,3,2,100,0,0,0,0,0,0,No Fance,None,0,6,2010,WD,Normal Sale,,2158,12156,0.10330827067669172,0,1,0,6,7.27802037845706E-4,1.0,6,0.005037593984962406,0.02518796992481203,196.28571428571428,3,200.0,1200,1536,9618,6870,1152,1200
2-STORY 1946 & NEWER,Residential Low Density,63,8577,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,7,5,2004,2004,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,847,847,GasA,4,1,SBrkr,847,886,0,1733,0,0,2,1,3,1,3,7,Typ,1,4,BuiltIn,2004,3,2,433,3,3,2,144,48,0,0,0,0,0,No Fance,None,0,4,2010,WD,Normal Sale,,3013,7297,0.20205199953363648,48,1,0,6,5.770340450086555E-4,1.0,6,0.007345225603357817,0.03672612801678909,247.57142857142858,3,216.5,1299,3388,12131,8665,2541,1299
2-STORY 1946 & NEWER,Residential Low Density,60,17433,Paved,Not Alley Access,Moderately Irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,8,5,1998,1998,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,114,3,2,Poured Contrete,5,3,1,Unfinshed,0,Unfinshed,0,1629,1629,GasA,4,1,SBrkr,1645,830,0,2475,0,0,2,1,4,1,3,7,Typ,1,3,Attchd,1998,3,3,962,3,3,2,23,172,0,0,256,0,0,No Fance,None,0,1,2010,WD,Normal Sale,,5066,14826,0.14197212183789365,428,1,0,12,4.0404040404040404E-4,1.3333333333333333,12,0.003441748408191361,0.017208742040956806,353.57142857142856,2,320.6666666666667,2886,8145,19800,12375,4887,2886
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,73,8987,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,8,5,2005,2006,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,226,3,2,Poured Contrete,4,3,0,Unfinshed,0,Unfinshed,0,1595,1595,GasA,4,1,SBrkr,1595,0,0,1595,0,0,2,0,2,1,3,6,Typ,1,4,Attchd,2005,2,3,880,3,3,2,144,0,0,0,0,0,0,No Fance,None,0,5,2010,WD,Normal Sale,,4070,6512,0.17747858017135862,0,0,1,4,6.269592476489029E-4,1.0,5,0.008122844108156226,0.04061422054078113,265.8333333333333,3,293.3333333333333,2640,6380,12760,7975,4785,2640
1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,92,9215,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,7,5,2009,2010,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,1218,1218,GasA,4,1,SBrkr,1218,0,0,1218,0,0,2,0,2,1,3,4,Typ,0,0,Attchd,2009,2,2,676,3,3,2,0,136,0,0,0,0,0,No Fance,None,0,4,2010,New,Partial,,3112,7321,0.13217580032555615,136,0,1,0,0.0,1.0,1,0.009983722192078133,0.049918610960390665,304.5,1,338.0,2028,4872,8526,6090,3654,2028
1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,84,10440,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,6,5,2005,2005,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,3,2,Poured Contrete,5,3,1,Good Living Quarters,1414,Unfinshed,0,54,1468,GasA,4,1,SBrkr,1468,0,0,1468,1,0,2,0,2,1,3,6,Typ,1,4,Attchd,2005,3,2,528,3,3,2,0,102,0,0,216,0,0,No Fance,None,0,5,2010,WD,Normal Sale,,3464,8444,0.14061302681992338,318,0,0,5,6.811989100817438E-4,1.0,5,0.008045977011494253,0.040229885057471264,244.66666666666666,3,264.0,1584,7340,8808,7340,4404,1584
2-STORY 1946 & NEWER,Residential Low Density,70,11920,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,SawyerW,Norm,Norm,Single-family Detached,2Story,7,5,2004,2004,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,122,3,2,Poured Contrete,4,3,3,Unfinshed,0,Unfinshed,0,831,831,GasA,4,1,SBrkr,831,828,0,1659,0,0,2,1,3,1,3,8,Typ,0,0,Attchd,2004,2,2,484,3,3,2,144,68,0,0,0,0,0,No Fance,None,0,4,2010,WD,Normal Sale,,2974,10605,0.1391778523489933,68,1,0,6,0.0,1.0,6,0.00587248322147651,0.02936241610738255,207.375,4,242.0,1452,3324,11613,8295,2493,1452
1-STORY 1945 & OLDER,Residential High Density,70,9800,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,SawyerW,Feedr,Norm,Single-family Detached,1Story,5,5,1920,1950,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,0,2,1,Brick & Tile,3,3,1,Unfinshed,0,Unfinshed,0,816,816,GasA,2,0,FuseA,1012,0,0,1012,0,0,1,0,2,1,2,5,Typ,0,0,Detchd,1920,1,1,429,3,3,2,121,0,80,0,0,0,0,No Fance,None,0,4,2010,WD,Normal Sale,,2257,8359,0.10326530612244898,80,0,1,60,0.0,2.0,90,0.007142857142857143,0.03571428571428571,202.4,2,429.0,1287,2448,5060,5060,2448,1287
