DwellingType,ZoneType,LotFrontage,LotArea,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,MasonryVeneerArea,ExteriorQuality,ExteriorCondition,Foundation,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1,BasementFinishedType1Area,BasementFinishedType2,BasementFinishedType2Area,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualityFinishedArea,AboveGroundLivingArea,BasementFullBathrooms,BasementHalfBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Functional,Fireplaces,FireplaceQuality,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSeasonPorchArea,ScreenPorch,PoolArea,PoolQuality,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalUsedArea,NonbuiltArea,BuiltAreaRatio,PorchArea,IsDuplex,SoldAfterRemodel,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,LivingAreaCondition,BasementAreaCondition,GarageAreaCondition
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70,11200,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,5,5,1965,1965,Hip,Two-family Conversion,Hard Board,Hard Board,NA,0,2,2,Cinder Block,3,3,1,Average Rec Room,906,Unfinshed,0,134,1040,GasA,4,1,SBrkr,1040,0,0,1040,1,0,1,0,3,1,2,5,Typ,0,0,Detchd,1965,1,1,384,3,3,2,0,0,0,0,0,0,0,No Fance,None,0,2,2008,WD,Normal Sale,129500,2464,9776,0.09285714285714286,0,0,0,43,0.0,3.0,43,0.00625,0.03125,208.0,1,384.0,1152,3120,5200,5200,3120,1152
2-STORY 1946 & NEWER,Residential Low Density,85,11924,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,9,5,2005,2006,Hip,Two-family Conversion,Wood Shingles,Wood Shingles,Stone,286,4,2,Poured Contrete,5,3,1,Good Living Quarters,998,Unfinshed,0,177,1175,GasA,4,1,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,4,11,Typ,2,4,BuiltIn,2005,3,3,736,3,3,2,147,21,0,0,0,0,0,No Fance,None,0,7,2006,New,Partial,345000,4235,10006,0.1949010399194901,21,1,1,0,8.605851979345956E-4,1.3333333333333333,1,0.007128480375712848,0.03564240187856424,211.27272727272728,6,245.33333333333334,2208,5875,20916,11620,3525,2208
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,12968,Paved,Not Alley Access,Moderately Irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,5,6,1962,1962,Hip,Two-family Conversion,Hard Board,Plywood,NA,0,2,2,Cinder Block,3,3,1,Average Living Quarters,737,Unfinshed,0,175,912,GasA,2,1,SBrkr,912,0,0,912,1,0,1,0,2,1,2,4,Typ,0,0,Detchd,1962,1,1,352,3,3,2,140,0,0,0,176,0,0,No Fance,None,0,9,2008,WD,Normal Sale,144000,2176,11704,0.0703269586674892,176,0,0,46,0.0,2.0,46,0.0,0.0,228.0,1,352.0,1056,2736,4560,5472,2736,1056
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,91,10652,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,7,5,2006,2007,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,306,3,2,Poured Contrete,4,3,3,Unfinshed,0,Unfinshed,0,1494,1494,GasA,4,1,SBrkr,1494,0,0,1494,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,2006,2,3,840,3,3,2,160,33,0,0,0,0,0,No Fance,None,0,8,2007,New,Partial,279500,3828,8318,0.14025535110777318,33,0,1,0,6.693440428380187E-4,1.5,1,0.008542996620352985,0.04271498310176493,213.42857142857142,3,280.0,2520,5976,10458,7470,4482,2520
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,10920,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,6,5,1960,1960,Hip,Two-family Conversion,Metal Siding,Metal Siding,Brick Face,212,2,2,Cinder Block,3,3,1,Below Average Living Quarters,733,Unfinshed,0,520,1253,GasA,2,1,SBrkr,1253,0,0,1253,1,0,1,1,2,1,2,5,Typ,1,2,Attchd,1960,2,1,352,3,3,2,0,213,176,0,0,0,0,Good Wood,None,0,5,2008,WD,Normal Sale,157000,2858,9315,0.11474358974358974,389,0,0,48,7.980845969672786E-4,1.0,48,0.0,0.0,250.6,2,352.0,1056,3759,7518,6265,3759,1056
1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51,6120,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,BrkSide,Norm,Norm,Single-family Detached,1.5Unf,7,8,1929,2001,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,0,2,2,Brick & Tile,3,3,1,Unfinshed,0,Unfinshed,0,832,832,GasA,4,1,FuseA,854,0,0,854,0,0,1,0,2,1,2,5,Typ,0,0,Detchd,1991,1,2,576,3,3,2,48,112,0,0,0,0,0,Good Privacy,None,0,7,2007,WD,Normal Sale,132000,2262,4690,0.13954248366013072,112,0,1,6,0.0,2.0,78,0.008333333333333333,0.06666666666666667,170.8,2,288.0,1728,2496,5978,6832,2496,1728
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,11241,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,6,7,1970,1970,Gable,Two-family Conversion,Wood Siding,Wood Siding,Brick Face,180,2,2,Cinder Block,3,3,1,Average Living Quarters,578,Unfinshed,0,426,1004,GasA,4,1,SBrkr,1004,0,0,1004,1,0,1,0,2,1,2,5,Typ,1,3,Attchd,1970,3,2,480,3,3,2,0,0,0,0,0,0,0,No Fance,Shed,700,3,2010,WD,Normal Sale,149000,2488,9757,0.08931589716217418,0,0,0,40,9.9601593625498E-4,2.0,40,0.0,0.0,200.8,2,240.0,1440,3012,6024,7028,3012,1440
DUPLEX - ALL STYLES AND AGES,Residential Low Density,72,10791,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,2,2,Slab,0,0,0,No Basement,0,No Basement,0,0,0,GasA,2,1,SBrkr,1296,0,0,1296,0,0,2,0,2,2,2,6,Typ,0,0,CarPort,1967,1,2,516,3,3,2,0,0,0,0,0,0,0,No Fance,Shed,500,10,2006,WD,Normal Sale,90000,1812,8979,0.12010008340283569,0,0,0,39,0.0,1.0,39,0.006672226855713094,0.03336113427856547,216.0,2,258.0,1548,0,5184,6480,0,1548
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,66,13695,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,SawyerW,RRAe,Norm,Single-family Detached,1Story,5,5,2004,2004,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,2,2,Poured Contrete,3,3,1,Good Living Quarters,646,Unfinshed,0,468,1114,GasA,4,1,SBrkr,1114,0,0,1114,1,0,1,1,3,1,3,6,Typ,0,0,Detchd,2004,1,2,576,3,3,2,0,102,0,0,0,0,0,No Fance,None,0,6,2008,WD,Normal Sale,159000,2804,12005,0.08134355604235122,102,0,0,4,0.0,1.5,4,0.004819277108433735,0.024096385542168676,185.66666666666666,2,288.0,1728,3342,5570,5570,3342,1728
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70,7560,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,5,6,1958,1965,Hip,Two-family Conversion,Brick Face,Plywood,NA,0,2,2,Cinder Block,3,3,1,Low Quality,504,Unfinshed,0,525,1029,GasA,2,1,SBrkr,1339,0,0,1339,0,0,1,0,3,1,2,6,Min1,0,0,Attchd,1958,1,1,294,3,3,2,0,0,0,0,0,0,0,Minimum Privacy,None,0,5,2009,COD,Abnormal Sale,139000,2662,5927,0.17711640211640212,0,0,1,44,0.0,3.0,51,0.009259259259259259,0.05555555555555555,223.16666666666666,2,294.0,882,3087,6695,8034,3087,882
2-STORY 1946 & NEWER,Residential Low Density,101,14215,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,2Story,8,5,2005,2006,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,380,3,2,Poured Contrete,5,3,3,Unfinshed,0,Unfinshed,0,1158,1158,GasA,4,1,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,3,9,Typ,1,4,BuiltIn,2005,2,3,853,3,3,2,240,154,0,0,0,0,0,No Fance,None,0,11,2006,New,Partial,325300,4387,12204,0.1671473795286669,154,1,1,0,4.2087542087542086E-4,1.0,1,0.00710517059444249,0.03552585297221245,264.0,4,284.3333333333333,2559,5790,19008,11880,3474,2559
1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57,7449,Paved,Grovel,Regular,Banked,All public Utilities,Inside,Gentle,IDOTRR,Norm,Norm,Single-family Detached,1.5Unf,7,7,1930,1950,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,0,2,2,Poured Contrete,3,3,1,Unfinshed,0,Unfinshed,0,637,637,GasA,4,1,FuseF,1108,0,0,1108,0,0,1,0,3,1,3,6,Typ,1,4,Attchd,1930,1,1,280,3,3,0,0,0,205,0,0,0,0,Good Privacy,None,0,6,2007,WD,Normal Sale,139400,2025,6061,0.14874479795945764,205,0,1,57,9.025270758122744E-4,3.0,77,0.0076520338300443014,0.05356423681031011,184.66666666666666,2,280.0,840,1911,7756,7756,1911,840
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75,9742,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,1Story,8,5,2002,2002,Hip,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,281,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,1777,1777,GasA,4,1,SBrkr,1795,0,0,1795,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,2002,2,2,534,3,3,2,171,159,0,0,0,0,0,No Fance,None,0,9,2008,WD,Normal Sale,230000,4106,7413,0.18425374666392938,159,0,0,6,5.571030640668524E-4,1.5,6,0.0076986245124204475,0.03849312256210224,256.42857142857144,3,267.0,1602,7108,14360,8975,5331,1602
1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44,4224,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,MeadowV,Norm,Norm,Townhouse End Unit,1Story,5,7,1976,1976,Gable,Two-family Conversion,Cement Board,Cement Board,NA,0,2,2,Poured Contrete,4,3,1,Good Living Quarters,840,Unfinshed,0,200,1040,GasA,2,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,2,6,Typ,1,3,Attchd,1976,1,2,572,3,3,2,100,110,0,0,0,0,0,No Fance,None,0,6,2007,WD,Normal Sale,129900,2672,2592,0.2509469696969697,110,0,0,31,9.433962264150943E-4,3.0,31,0.010416666666666666,0.07291666666666666,176.66666666666666,2,286.0,1716,4160,5300,7420,3120,1716
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,8246,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,5,8,1968,2001,Gable,Two-family Conversion,Plywood,Plywood,NA,0,2,3,Cinder Block,3,3,2,Average Rec Room,188,Average Living Quarters,668,204,1060,GasA,4,1,SBrkr,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3,Attchd,1968,1,1,270,3,3,2,406,90,0,0,0,0,0,Minimum Privacy,None,0,5,2010,WD,Normal Sale,154000,2390,6916,0.12854717438758187,90,0,1,9,9.433962264150943E-4,3.0,42,0.0,0.0,176.66666666666666,2,270.0,810,3180,5300,8480,3180,810
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,110,14230,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,8,5,2007,2007,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,640,3,2,Poured Contrete,4,3,1,Unfinshed,0,Unfinshed,0,1566,1566,GasA,4,1,SBrkr,1600,0,0,1600,0,0,2,0,3,1,3,7,Typ,1,4,Attchd,2007,2,3,890,3,3,2,0,56,0,0,0,0,0,No Fance,None,0,7,2009,WD,Normal Sale,256300,4056,11740,0.11243851018973998,56,0,0,2,6.25E-4,1.5,2,0.007730147575544624,0.03865073787772312,228.57142857142858,3,296.6666666666667,2670,6264,12800,8000,4698,2670
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60,7200,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,5,7,1951,2000,Gable,Two-family Conversion,Wood Siding,Wood Siding,NA,0,2,2,Cinder Block,3,3,2,Below Average Living Quarters,234,Average Rec Room,486,180,900,GasA,2,1,SBrkr,900,0,0,900,0,1,1,0,3,1,3,5,Typ,0,0,Detchd,2005,1,2,576,3,3,2,222,32,0,0,0,0,0,No Fance,None,0,5,2010,WD,Normal Sale,134800,2376,5724,0.125,32,0,1,10,0.0,3.0,59,0.008333333333333333,0.058333333333333334,180.0,1,288.0,1728,2700,4500,6300,2700,1728
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,98,11478,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NridgHt,Norm,Norm,Single-family Detached,1Story,8,5,2007,2008,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,200,3,2,Poured Contrete,5,3,1,Good Living Quarters,1218,Unfinshed,0,486,1704,GasA,4,1,SBrkr,1704,0,0,1704,1,0,2,0,3,1,3,7,Typ,1,4,Attchd,2008,2,3,772,3,3,2,0,50,0,0,0,0,0,No Fance,None,0,5,2010,WD,Normal Sale,306000,4180,9002,0.14845791949817042,50,0,1,2,5.868544600938967E-4,1.5,3,0.008538072834988674,0.042690364174943374,243.42857142857142,3,257.3333333333333,2316,8520,13632,8520,5112,2316
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,47,16321,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,5,6,1957,1997,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,2,2,Cinder Block,3,3,4,Below Average Living Quarters,1277,Unfinshed,0,207,1484,GasA,2,1,SBrkr,1600,0,0,1600,1,0,1,0,2,1,2,6,Typ,2,4,Attchd,1957,2,1,319,3,3,2,288,258,0,0,0,0,0,No Fance,None,0,12,2006,WD,Normal Sale,207500,3403,14402,0.09803320874946388,258,0,1,9,0.00125,2.0,49,0.0028797255070155017,0.01727835304209301,266.6666666666667,3,319.0,957,4452,8000,9600,4452,957
1-STORY 1945 & OLDER,Residential Medium Density,60,6324,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,BrkSide,Feedr,RRNn,Single-family Detached,1Story,4,6,1927,1950,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,2,2,Brick & Tile,3,3,1,Unfinshed,0,Unfinshed,0,520,520,GasA,1,0,SBrkr,520,0,0,520,0,0,1,0,1,1,1,4,Typ,0,0,Detchd,1920,1,1,240,2,3,2,49,0,87,0,0,0,0,No Fance,None,0,5,2008,WD,Normal Sale,68500,1280,5564,0.08222643896268185,87,0,1,58,0.0,1.0,81,0.009487666034155597,0.056925996204933584,130.0,2,240.0,480,1560,2080,3120,1560,720
2-STORY 1945 & OLDER,Commercial,50,8500,Paved,Paved,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,IDOTRR,Feedr,Norm,Single-family Detached,2Story,4,4,1920,1950,Gambrel,Two-family Conversion,Brick Face,Brick Face,NA,0,2,1,Brick & Tile,3,3,1,Unfinshed,0,Unfinshed,0,649,649,GasA,2,0,SBrkr,649,668,0,1317,0,0,1,0,3,1,2,6,Typ,0,0,Detchd,1920,1,1,250,3,2,0,0,54,172,0,0,0,0,Minimum Privacy,None,0,7,2008,WD,Normal Sale,40000,2216,7601,0.15494117647058825,226,1,1,58,0.0,3.0,88,0.0058823529411764705,0.023529411764705882,219.5,2,250.0,750,1947,5268,5268,1947,500
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,0,8544,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,CulDSac,Gentle,Sawyer,Norm,Norm,Single-family Detached,1Story,5,6,1966,2006,Gable,Two-family Conversion,Hard Board,Hard Board,NA,0,2,2,Cinder Block,3,3,1,Unfinshed,0,Unfinshed,0,1228,1228,GasA,3,1,SBrkr,1228,0,0,1228,0,0,1,1,3,1,3,6,Typ,0,0,Attchd,1966,1,1,271,3,3,2,0,65,0,0,0,0,0,Minimum Privacy,None,0,6,2008,WD,Normal Sale,149350,2727,7045,0.14372659176029962,65,0,1,2,0.0,1.5,42,0.0,0.0,204.66666666666666,2,271.0,813,3684,6140,7368,3684,813
